rowID,Name,Profile Link,Investor Type,Investment Areas,Typical Investment,Funding Stage
d30b9b11-1e69-4f45-951b-3ddb1c42820f,ESKEYN Ventures,https://www.eu-startups.com/investor/eskeyn-ventures-2/,VC Firm,"Incubators, Business Consulting, Private Equity, Venture Capital, Capital Markets",€100k-€1.5M,Series A/B
8c0d6c0e-871f-409d-8650-d78dac27ab49,Fortunis Capital,https://www.eu-startups.com/investor/fortunis-capital-2/,VC Firm,"Venture Capital , High Net Worth (HNW) individuals",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond"
cd40c102-5c74-4eb8-86b8-7acbd64c2ce1,Blossom Capital,https://www.eu-startups.com/investor/blossom-capital/,VC Firm,"Finance, Financial Exchanges, Financial Services, FinTech, Venture Capital",Above €3M,"Pre-Seed / Seed, Series A/B"
33167f5e-fc3b-4dbc-b30a-9d799db8d5e8,EBRD Venture Capital,https://www.eu-startups.com/investor/ebrd-venture-capital/,VC Firm,"Technology across all verticals, Early and Growth Stage Companies",Above €3M,"Series A/B, Series C & Beyond"
df29766b-88cf-415d-9021-1786aa380adf,SuperSeed Ventures,https://www.eu-startups.com/investor/superseed-ventures/,VC Firm,"Artificial Intelligence (AI), B2B, SaaS",€100k-€1.5M,Pre-Seed / Seed
1114bda2-662f-403c-9dac-57cb8741da2d,Concept Ventures,https://www.eu-startups.com/investor/concept-ventures/,VC Firm,"B2B, Enterprise, Enterprise Software, Finance, Financial Services, FinTech, Gaming, Marketplace, Venture Capital",€100k-€1.5M,Pre-Seed / Seed
8b23407b-a232-4c96-a1d1-fa8b2681f726,The Garage Soho,https://www.eu-startups.com/investor/the-garage-soho/,VC Firm,"Financial Services, Financial Contracts, Investing, Insurance , Marketing, Consulting, Professional Services ,Agency, Investment Management",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
2c427f3d-d5c5-494e-9f01-27f816464511,Angular Ventures,https://www.eu-startups.com/investor/angular-ventures/,VC Firm,"Venture Capital, Financial Services, Technology, Investment, Investment Management, Startups, Entrepreneurial, Expertise, Tech Innovation, Financial Contracts, Investing, Finance, Insurance, Design Services, Integration Services, IT Management, E-commerce, Consulting & Professional Services",€1.5M-€3M,"Pre-Seed / Seed, Series A/B"
1a023646-d497-4e54-8a21-0c3c26f65d96,Ada Ventures,https://www.eu-startups.com/investor/ada-ventures/,VC Firm,"Venture Capital, Private Equity, Investment, Corporate & Business,Climate Change, Advocacy, Healthcare,Startups, Entrepreneurial, Financial Contracts, Finance, Insurance, Consulting & Professional Services",€100k-€1.5M,Pre-Seed / Seed
6218a645-4582-4a7e-9e67-176f2f00d240,Dig Ventures,https://www.eu-startups.com/investor/dig-ventures/,VC Firm,"Investing, Venture Capital, Private Equity, Infrastructure, FinTech, Startup Funding, Investment Management, Entrepreneurial, Financial Services, Financial Contracts, Financial Advisers, B2B, SAAS",€100k-€1.5M,Pre-Seed / Seed
