rowID,Country,Country Code,Name,Profile Link,Investor Type,Investment Areas,Typical Investment,Funding Stage
1f7f58e0-32da-4ca2-9c77-7a05f41b030b,Austria,AT,Speedinvest,https://www.eu-startups.com/investor/speedinvest/,VC Firm,"Deep-Tech, Fin-Tech, SaaS, Med-Tech, Green-Tech, Marketplace, Consumer,",€100k-€1.5M,Pre-Seed / Seed
85f329e8-c47a-4fe9-971e-bfe097505bf2,Austria,AT,aws Gründungsfonds,https://www.eu-startups.com/investor/aws-grundungsfonds/,VC Firm,"SaaS, Fin-Tech, Deep-Tech, Clean-Tech",€100k-€1.5M,Pre-Seed / Seed
ec7c85a0-e06a-4214-ac6a-ec61d6b5daea,Austria,AT,Onsight Ventures,https://www.eu-startups.com/investor/onsight-ventures/,VC Firm,"Deep-Tech, Artificial Intelligence, AR/VR, Consumer",€1.5M-€3M,Pre-Seed / Seed
0e3ef7f5-6f51-44e0-844b-0439c3b8f1b4,Austria,AT,QC·VENTURES,https://www.eu-startups.com/investor/qcventures/,VC Firm,"Fin-Tech, Social Impact, Envi-Tech, Med-Tech, Life Science",€100k-€1.5M,Series C & Beyond
8d5d50be-676d-474b-bcaf-2267893e639c,Austria,AT,tecnet equity,https://www.eu-startups.com/investor/tecnet-equity/,VC Firm,"Life Sciences, Industrial Technologies, Material Sciences, Environmental Technologies",€100k-€1.5M,Series A/B
ad148e74-99f4-4477-8594-ecb0709aa5c2,Austria,AT,Fund F,https://www.eu-startups.com/investor/fund-f/,VC Firm,"Climate-Tech, Fem-Tech, Health-Tech, Fin-Tech, HR-Tech",€100k-€1.5M,Pre-Seed / Seed
9d35143e-ff03-4429-964f-eb8c02104261,Austria,AT,Mpoweru,https://www.eu-startups.com/investor/mpoweru/,VC Firm,"Artificial intelligence, Cloud computing and infrastructure, Cybersecurity, E-commerce, digital marketplaces, Internet of Things",€100k-€1.5M,Pre-Seed / Seed
fde355f8-b96b-465f-b49b-ff31bdd1fdd5,Austria,AT,red-stars.com,https://www.eu-startups.com/investor/red-stars-com/,VC Firm,"B2B, Fast Prototyping, Connectivity, Transactions, EDI, SRM, AI , IP Video Analysis, AI & AR, Blockchain, Big Data, Sharing, Compliance, IOT, Migration, and Cloud",€1.5M-€3M,Pre-Seed / Seed
2625d4b8-19c7-4e4f-9f17-39d08fc0eb0a,Austria,AT,Square One Foods,https://www.eu-startups.com/investor/square-one-foods/,VC Firm,"Food & Beverage, FMCG, Food-Tech, Consumer",€100k-€1.5M,Series A/B
d14b86c8-c422-4984-975f-b6fa2873dd1a,Austria,AT,FSP Ventures,https://www.eu-startups.com/investor/fsp-ventures/,VC Firm,"Clean-Tech, Green-Tech, Sustainablity, Circular Economy",€100k-€1.5M,Pre-Seed / Seed
71601745-ad2d-4e3f-83c2-06404fb0ab9a,Austria,AT,Segnalita,https://www.eu-startups.com/investor/segnalita/,VC Firm,"Clean-Tech, Green-Tech, Sustainablity, Circular Economy",€1.5M-€3M,Series A/B
e0108d77-1a1d-48d4-a34c-833e68d50aeb,Austria,AT,WaVe-X,https://www.eu-startups.com/investor/wave-x/,VC Firm,"Logistics, Mobility, Prop-Tech, Construction-Tech",€100k-€1.5M,Pre-Seed / Seed
31dff610-ee13-4b5f-82e1-663284d9ed56,Austria,AT,Findus Venture,https://www.eu-startups.com/investor/findus-venture/,VC Firm,"Clean Mobility, New Space, Clean Energy, Artificial Intelligence",€1.5M-€3M,Series A/B
71224b68-1f72-405f-9e5d-3238441dcb59,Austria,AT,Hermann Hauser Investment,https://www.eu-startups.com/investor/hermann-hauser-investment/,VC Firm,"Artificial Intelligence, Digital Health, Synthetic Biology, Operating Systems, Electronics, Quantum Computing",Above €3M,Series A/B
c907be58-6d84-4a75-ade9-0094acb6a3e8,Austria,AT,Katharo Ventures,https://www.eu-startups.com/investor/katharo-ventures/,VC Firm,"Fin-Tech, Clean-Tech, Deep-Tech, Virtual Reality, Artificial Intelligence,",€1.5M-€3M,Pre-Seed / Seed
6e41256c-9a19-4ff3-b3d9-103558b6a5e5,Austria,AT,Camouflage Ventures,https://www.eu-startups.com/investor/camouflage-ventures/,VC Firm,"Deep-Tech, Consumer, Gaming, Med-Tech",€100k-€1.5M,Pre-Seed / Seed
59bbffd9-c532-4b8d-a3d0-9badab0d4162,Austria,AT,Situlus,https://www.eu-startups.com/investor/situlus/,VC Firm,"Circular Economy, Automation, Food & Beverage, Augmented Reality",€100k-€1.5M,Series A/B
15f3a78e-e930-440e-b636-cfcfcf205b92,Austria,AT,RKP InnoInvest,https://www.eu-startups.com/investor/rkp-innoinvest/,VC Firm,"Food and Beverage, FMCG, Health-Tech, Digital Technology",€100k-€1.5M,Pre-Seed / Seed
1857b661-839b-4e62-95e2-6846019b62eb,Austria,AT,Hornet Ventures,https://www.eu-startups.com/investor/hornet-ventures/,VC Firm,"Consumer, Pet-Tech, Med-Tech, Crypto, Fin-Tech",€100k-€1.5M,Pre-Seed / Seed
58956567-4457-46cb-ab59-623f99befa97,Austria,AT,Motec ventures,https://www.eu-startups.com/investor/motec-ventures/,VC Firm,"Automotive, Deep-Tech, HR-Tech, Artificial Intelligence",€1.5M-€3M,Series A/B
786d8899-dc14-497e-988b-64455527c5c1,Austria,AT,Gasser + Partner,https://www.eu-startups.com/investor/gasser-partner-gmbh/,VC Firm,"Cosmetics, Renewable energy, Med-Tech, Clean-Tech",€100k-€1.5M,Series A/B
3e82b4ce-3d66-4d99-a1af-3cba9f13bf5b,Austria,AT,Smart Capital,https://www.eu-startups.com/investor/smart-capital/,VC Firm,"SaaS, Prop-Tech, Bio-Tech, Clean-Tech",€100k-€1.5M,Series A/B
7d5ac268-2f2c-4d32-bdb6-1b43be0e7463,Austria,AT,Loonshot,https://www.eu-startups.com/investor/loonshot/,VC Firm,"AgroTech, FoodTech, FMCG, Digital Business Models",0-€100k,Pre-Seed / Seed
46885b06-3a46-49a7-9222-89f9e7694776,Austria,AT,eQventure,https://www.eu-startups.com/investor/eqventure/,VC Firm,"Deep-Tech, Industrial Tech, Network Effects, Digital Health,Consumer-Tech",€100k-€1.5M,Series A/B
71160923-f945-46a8-adc5-0466a644eadf,Austria,AT,UNIQA Ventures,https://www.eu-startups.com/investor/uniqa-ventures/,VC Firm,"Med-Tech, Mobility, Prop-Tech, Fin-Tech, Insur-Tech, Blockchain, Artificial Intelligence, Machine Learning, Internet Of Things.",€100k-€1.5M,Series A/B
aff88c05-9cbc-4355-b183-4b7d4a467414,Austria,AT,asp. group,https://www.eu-startups.com/investor/asp-group/,VC Firm,"Agnostic, Med-Tech, SaaS, Artificial Intellignece, Logistics, Food & Beverage.",€100k-€1.5M,Pre-Seed / Seed
6739e446-6145-49d3-8396-11859dce32dd,Austria,AT,Next Monday Ventures,https://www.eu-startups.com/investor/next-monday-ventures/,VC Firm,"B2B Enterprise, Cyberspace, Metaverse, Cybersecurity, Hyperautomation, Artificial Intelligence,",€100k-€1.5M,Pre-Seed / Seed
7b2e16ad-c417-4388-a6b3-09c3176f804f,Belgium,BE,EIT Food RisingFoodStars,https://www.eu-startups.com/investor/eit-food-risingfoodstars/,Accelerator,"agri-food, sustainable packaging, net-zero food systems",€100k-€1.5M,Pre-Seed / Seed
c1c04bcf-ce1c-41f5-a598-324b30d6e5e8,Belgium,BE,Seven Camp,https://www.eu-startups.com/investor/seven-camp/,Accelerator,"Dual use, AI, Cybersecurity, Edtech, Legaltech, Medtech",€100k-€1.5M,Pre-Seed / Seed
dbc4679c-981c-4a39-a84b-ddfed2cfcc9c,Belgium,BE,Ethias Ventures,https://www.eu-startups.com/investor/ethias-ventures/,VC Firm,"InsurTech, Mobility, Health and Property",Above €3M,"Series A/B, Series C & Beyond"
125bc9cd-c173-4cf9-aba9-4ee366db1b2c,Belgium,BE,QBIC Fund,https://www.eu-startups.com/investor/qbic-fund/,VC Firm,"Biotech, Healthtech, DeepTech",€100k-€1.5M,Pre-Seed / Seed
8f11a492-c76d-481c-916f-de91d5d89bf2,Belgium,BE,Miles Ahead Capital,https://www.eu-startups.com/investor/miles-ahead-capital/,VC Firm,"AI, B2B SaaS",€100k-€1.5M,Pre-Seed / Seed
05fff51a-c65a-46f5-bc57-aeaa0344a7f9,Belgium,BE,Finindus,https://www.eu-startups.com/investor/finindus/,VC Firm,"Materials, Sustainable Industries and Industry 4.0",€1.5M-€3M,Series A/B
